#lo_ghz att pll_if_power pa_0 pa_1
220.000 242 -1.514 2.147 2.498
220.100 239 -1.517 2.176 2.498
220.200 233 -1.541 2.284 2.498
220.300 222 -1.547 2.451 2.488
220.400 214 -1.506 2.500 2.488
220.500 208 -1.521 2.500 2.498
220.600 208 -1.542 2.461 2.498
220.700 210 -1.526 2.284 2.498
220.800 210 -1.511 2.324 2.498
220.900 211 -1.552 2.500 2.488
221.000 209 -1.520 2.500 2.498
221.100 208 -1.510 2.496 2.492
221.200 210 -1.521 2.491 2.496
221.300 215 -1.513 2.492 2.500
221.400 221 -1.520 2.493 2.484
221.500 226 -1.550 2.464 2.500
221.600 227 -1.508 2.259 2.496
221.700 220 -1.537 2.314 2.494
221.800 217 -1.479 2.486 2.492
221.900 217 -1.504 2.491 2.495
222.000 221 -1.509 2.497 2.498
222.100 226 -1.540 2.496 2.499
222.200 233 -1.506 2.494 2.500
222.300 233 -1.521 2.493 2.497
222.400 226 -1.525 2.287 2.493
222.500 218 -1.539 2.114 2.459
222.600 217 -1.535 2.088 2.327
222.700 219 -1.508 2.185 2.343
222.800 224 -1.531 2.281 2.497
222.900 234 -1.533 2.251 2.487
223.000 241 -1.550 2.239 2.498
223.100 239 -1.507 2.359 2.499
223.200 233 -1.541 2.253 2.499
223.300 230 -1.512 2.108 2.418
223.400 230 -1.524 2.021 2.287
223.500 233 -1.507 1.993 2.276
223.600 241 -1.509 2.044 2.305
223.700 247 -1.485 2.154 2.493
223.800 245 -1.536 2.225 2.495
223.900 240 -1.497 2.250 2.496
224.000 233 -1.515 2.414 2.498
224.100 230 -1.463 2.420 2.491
224.200 230 -1.521 2.495 2.473
224.300 235 -1.511 2.492 2.476
224.400 240 -1.519 2.499 2.468
224.500 242 -1.504 2.486 2.493
224.600 237 -1.535 2.492 2.499
224.700 228 -1.508 2.499 2.494
224.800 221 -1.517 2.496 2.499
224.900 220 -1.502 2.497 2.494
225.000 223 -1.537 2.499 2.499
225.100 229 -1.511 2.499 2.497
225.200 234 -1.522 2.499 2.495
225.300 235 -1.526 2.494 2.493
225.400 228 -1.446 2.498 2.491
225.500 218 -1.527 2.481 2.495
225.600 215 -1.527 2.484 2.499
225.700 217 -1.464 2.372 2.494
225.800 219 -1.533 2.162 2.381
225.900 226 -1.540 2.153 2.313
226.000 229 -1.504 2.184 2.381
226.100 224 -1.532 2.185 2.482
226.200 217 -1.502 2.147 2.495
226.300 212 -1.514 2.154 2.493
226.400 210 -1.527 2.199 2.491
226.500 212 -1.510 2.346 2.488
226.600 218 -1.545 2.296 2.299
226.700 224 -1.548 2.027 2.192
226.800 223 -1.552 1.974 2.173
226.900 220 -1.504 1.979 2.243
227.000 220 -1.514 1.926 2.323
227.100 219 -1.500 1.931 2.386
227.200 222 -1.508 1.945 2.478
227.300 231 -1.477 2.033 2.427
227.400 238 -1.544 2.161 2.142
227.500 239 -1.523 2.002 2.053
227.600 237 -1.501 1.901 2.102
227.700 233 -1.504 1.897 2.174
227.800 229 -1.512 1.902 2.266
227.900 229 -1.452 1.898 2.486
228.000 232 -1.515 1.884 2.490
228.100 236 -1.520 1.955 2.469
228.200 236 -1.512 2.124 2.398
228.300 233 -1.512 2.179 2.166
228.400 228 -1.545 2.185 2.031
228.500 221 -1.514 2.199 2.031
228.600 217 -1.506 2.183 2.099
228.700 219 -1.514 2.135 2.347
228.800 222 -1.522 2.067 2.496
228.900 223 -1.545 2.049 2.493
229.000 225 -1.509 2.158 2.500
229.100 224 -1.494 2.265 2.302
229.200 222 -1.503 2.158 2.133
229.300 223 -1.511 2.163 2.062
229.400 227 -1.500 2.169 2.060
229.500 230 -1.513 2.163 2.212
229.600 234 -1.523 2.108 2.490
229.700 233 -1.508 2.053 2.495
229.800 228 -1.516 2.066 2.499
229.900 224 -1.508 2.207 2.489
230.000 224 -1.510 2.417 2.489
230.100 224 -1.528 2.126 2.489
230.200 227 -1.537 2.031 2.499
230.300 230 -1.513 2.025 2.499
230.400 232 -1.514 2.019 2.499
230.500 227 -1.519 2.025 2.492
230.600 220 -1.506 2.022 2.485
230.700 219 -1.544 2.044 2.495
230.800 218 -1.501 2.115 2.496
230.900 221 -1.534 2.101 2.251
231.000 227 -1.510 2.039 2.330
231.100 234 -1.539 2.072 2.307
231.200 238 -1.441 2.085 2.470
231.300 236 -1.483 2.044 2.476
231.400 233 -1.517 1.964 2.491
231.500 231 -1.520 1.920 2.494
231.600 232 -1.524 1.944 2.497
